# ASRS_ADVISEDLU00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
2;Loading aid;LoadUnit;LoadAid.loadAidId;loadAidId;S;10;0;X;X;Unique identification of a loading aid (see LoadAid).;
3;Storage duration;;;storageDuration;E;5;0;X;;It defines how long a loading unit is expected to be stored in the warehouse.;com.wamas.wms.biz.asrs.lib.di.AsrsStorageDuration
4;Height (min.);;;minHeight;N;12;0;;;It specifies the minimum height of the loading unit.;
5;Height (max.);;;maxHeight;N;12;0;;;It specifies the maximum height of the loading unit.;
6;Weight (min.);;;minWeight;N;12;0;;;It specifies the minimum weight of the loading unit.;
7;Weight (max.);;;maxWeight;N;12;0;;;It specifies the maximum weight of the loading unit.;
8;Storage attribute 1;;;storageAttribute1;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
9;Storage attribute 2;;;storageAttribute2;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
10;Storage attribute 3;;;storageAttribute3;S;100;0;;;It refers to a customizable stock-identifying attribute, which is considered during the storage location search.;
