# PARTNERADDR00007;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;PartnerAddress;Partner.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Partner;PartnerAddress;Partner.partnerId;partnerId;S;15;0;X;X;Unique identification of a partner object.;
3;Kind of address;PartnerAddress;kind;addresskind;E;8;0;X;;Defines the kind of the partner address.;
4;Title;PartnerAddress;addr.title;title;S;35;0;;;Special designation of a company or the degree of a person.;
5;Name;PartnerAddress;addr.name;name;S;35;0;X;;Name of a company or a person.;
6;Name 2;PartnerAddress;addr.name2;name2;S;35;0;;;Name of a company or a person.;
7;Name 3;PartnerAddress;addr.name3;name3;S;35;0;;;Name of a company or a person.;
8;Name 4;PartnerAddress;addr.name4;name4;S;35;0;;;Name of a company or a person.;
9;Street;PartnerAddress;addr.street;street;S;35;0;;;Street and street (house) number or post office box.;
10;City;PartnerAddress;addr.city;city;S;35;0;;;It is part of the address.;
11;District;PartnerAddress;addr.district;district;S;35;0;;;The district of an address;
12;Region;PartnerAddress;addr.region;region;S;35;0;;;Possible content: province, federal state, canton, area, county;
13;Country;PartnerAddress;addr.Country.countryId;country;S;2;0;;X;The unique identifier for a country. ISO 3166-1 Alpha 2 Code.;
14;ZIP code;PartnerAddress;addr.zipCode;zipCode;S;10;0;;;ZIP code of the city origin.;
15;Phone;PartnerAddress;addr.phone;phone;S;40;0;;;Phone number.;
16;Fax;PartnerAddress;addr.fax;fax;S;40;0;;;Fax number.;
17;Email;PartnerAddress;addr.email;email;S;255;0;;;An email address.;
18;Website;PartnerAddress;addr.website;webSite;S;40;0;;;The address of the website.;
19;GLN;PartnerAddress;addr.gln;gln;S;13;0;;;The global location number (GLN), as well as the international location number, is used to identify the denotation of companies on an international level, including the address. It is a thirteen digit number comprising a three digit prefix EAN-country reference. The number is determined by the GS1 organisations.;
20;Language;PartnerAddress;addr.Language.langId;language;S;6;0;X;X;Is the unique identifaction of a language, in compliance with ISO 639-2/B Alpha 3 Code. In case ISO specifies more than one code, the B-Code variant is used (ger instead of deu). If a particular language has regional differences, the 2-character country code according to ISO-3166 is used (eng-US, eng-UK, ger-CH, ger-AT, ger-DE).Info: ISO 639 is the set of international standards that lists short codes for language names.See also: LANGISOALPHA2ID.;
21;Time zone;PartnerAddress;addr.timezone;timeZone;S;100;0;;;Timezone value, for e.g. "Europe/Vienna".;
22;Data state;;;recordState;E;6;0;;;;com.wamas.wms.core.di.recordtypes.RecordState
